estagio,gene,HR,ic_inf,ic_sup,p,n,eventos,fdr
I,brca1,0.9478860031915166,0.823240086869937,1.0914044266995702,0.45685312075145756,479,216,0.8326436646626094
I,cdh1,0.9512864348615305,0.8256696523315115,1.0960144636492217,0.4894723508119959,479,216,0.8326436646626094
I,nbn,1.0506143035235778,0.9233925265682398,1.195364249774184,0.45341160061049934,479,216,0.8326436646626094
I,msh6,0.946837561731088,0.8148232289768592,1.1002403176828583,0.47581731873767485,479,216,0.8326436646626094
I,rbl2,1.0422048972272298,0.9227439981156313,1.1771315229603991,0.5057160908073518,479,216,0.8326436646626094
I,ccne1,1.0605428142236812,0.9073240977989623,1.239635388864872,0.46030614003691395,479,216,0.8326436646626094
I,cdk2,1.0526227424617955,0.9079267524065545,1.2203788852028903,0.49667337380126875,479,216,0.8326436646626094
I,cir1,0.9546923294788134,0.8365127596589577,1.0895678917525085,0.4916499633229633,479,216,0.8326436646626094
I,hdac1,0.9494858332606841,0.8236849920113714,1.094500150307813,0.4747421433561966,479,216,0.8326436646626094
I,hes1,1.049673025517381,0.9176732824902021,1.2006598443281762,0.4795619219906819,479,216,0.8326436646626094
I,psenen,0.9547918002217698,0.8348721557889401,1.0919365024328251,0.4993119197336149,479,216,0.8326436646626094
I,snw1,0.9516754554502155,0.8317947055797152,1.0888337788531144,0.47088622007287617,479,216,0.8326436646626094
I,hey1,1.0603190926805615,0.9106984245616376,1.2345212728836077,0.45044903632740174,479,216,0.8326436646626094
I,acvr2a,0.9541719353164768,0.8349588165858364,1.0904059745945496,0.49087187382843,479,216,0.8326436646626094
I,bmp15,1.052173989466794,0.9222861177022992,1.200354296634676,0.4493236506670626,479,216,0.8326436646626094
I,casp6,0.9536986601400597,0.8320126733070328,1.0931818270721247,0.49605464778042696,479,216,0.8326436646626094
I,cxcr1,1.0590510864565406,0.9098575161069852,1.2327086207120996,0.45895005069131534,479,216,0.8326436646626094
I,egfr,1.0612274066698568,0.8931837572603785,1.2608867990631425,0.4992686099409396,479,216,0.8326436646626094
I,mapk6,1.0519679029747784,0.9178132736527965,1.2057316021208329,0.46670214082987993,479,216,0.8326436646626094
I,mmp19,1.0438459206338517,0.9200018104419035,1.1843610454424653,0.5054333542250129,479,216,0.8326436646626094
I,mmp26,0.9521399402318305,0.8346520802951486,1.0861657056723484,0.46546364661284667,479,216,0.8326436646626094
I,mmp27,0.9547879217873478,0.8389763502883785,1.0865860226902162,0.4831305099211024,479,216,0.8326436646626094
I,nfkb2,0.9486383979113162,0.8197587198245061,1.0977801006915822,0.47909971450389555,479,216,0.8326436646626094
I,ptk2,1.052783187601572,0.9146521920812988,1.2117747595120956,0.4735050598159072,479,216,0.8326436646626094
I,rps6kb2,1.0567494000672326,0.9217247467319439,1.2115539899540315,0.428727757103625,479,216,0.8326436646626094
I,smad5,0.9410130211284735,0.8011753943540565,1.1052579899152686,0.45887224744235855,479,216,0.8326436646626094
I,myh9,1.048171732711784,0.9182833999271303,1.1964323664602967,0.48580036067754373,479,216,0.8326436646626094
I,cyp2c8,0.9561123147879008,0.8484758258294187,1.0774034223019369,0.4614265975405796,479,216,0.8326436646626094
I,tubb1,1.0544030779729778,0.9180285686698253,1.2110362234693626,0.4534611608128044,479,216,0.8326436646626094
I,tubb4a,1.0382995259310315,0.9304899140595716,1.158600312866567,0.5016206693103101,479,216,0.8326436646626094
I,adgra2,0.9521348518550758,0.834331987255773,1.0865708015089823,0.4666938327215362,479,216,0.8326436646626094
I,apc,1.0456860642408377,0.9231905323772939,1.1844351806032314,0.4822103899893053,479,216,0.8326436646626094
I,arid5b,0.9559889808412669,0.8382433397628439,1.0902740148803203,0.5021190166385501,479,216,0.8326436646626094
I,chd1,0.9485175816023648,0.8245734681722208,1.0910921068113848,0.4594361275231158,479,216,0.8326436646626094
I,ctnna3,1.050458413887278,0.9169952081628365,1.2033463964520812,0.47766812400910375,479,216,0.8326436646626094
I,gps2,1.0466107676096932,0.9185193042613071,1.1925651358601448,0.49400200968886543,479,216,0.8326436646626094
I,l1cam,0.9405871508112075,0.8077971933615077,1.095205820893735,0.4302303065844181,479,216,0.8326436646626094
I,magea8,1.051938323707235,0.9075889798766221,1.2192460038842863,0.5013430164229709,479,216,0.8326436646626094
I,map3k13,1.0546412600032289,0.9152704078025579,1.2152345119204777,0.4619307718664746,479,216,0.8326436646626094
I,men1,0.9492778240285347,0.8216166001004986,1.0967748060130786,0.4799401875283821,479,216,0.8326436646626094
I,nrg3,1.0546622450777134,0.9018400312986009,1.2333811015138603,0.5051839824904543,479,216,0.8326436646626094
I,setd2,0.9511525202910118,0.8319147941930982,1.0874805006123658,0.4636703836285706,479,216,0.8326436646626094
I,stmn2,0.9496877330513173,0.8201712572339549,1.09965666603564,0.49015336280476174,479,216,0.8326436646626094
I,ush2a,1.05254969158825,0.9131971426246286,1.213167235804535,0.4796841709119648,479,216,0.8326436646626094
I,cyp21a2,0.9527067974699774,0.8354315856365969,1.0864447281507477,0.4697540737801068,479,216,0.8326436646626094
I,hsd17b2,0.9473817523520933,0.8149782857817929,1.101295826340622,0.48159163435157226,479,216,0.8326436646626094
I,srd5a2,1.044915936006753,0.9204581426531967,1.1862020256278485,0.497123235917009,479,216,0.8326436646626094
I,srd5a3,1.0479341898695687,0.9187620451541388,1.1952671228526337,0.4854343183632641,479,216,0.8326436646626094
I,star,1.0533775752919228,0.9193431875932083,1.2069533239624863,0.4539259092327964,479,216,0.8326436646626094
I,rbl1,1.050005608768094,0.9058247464636106,1.2171358562997117,0.5173150121045624,479,216,0.8347441755038025
I,psen1,1.0494285913853818,0.9078727610067246,1.2130558550912944,0.5140125188914505,479,216,0.8347441755038025
I,hes7,0.9581047597758775,0.8391835659910688,1.0938783454619767,0.5267689323004681,479,216,0.8347441755038025
I,dab2,1.0443327271688851,0.9169643737576418,1.1893928229367179,0.513323745789521,479,216,0.8347441755038025
I,inha,1.0546326261305825,0.8942192598852389,1.2438224337080723,0.5274763808398262,479,216,0.8347441755038025
I,rps6kb1,0.9546044282744904,0.8310738113374547,1.096496607220425,0.5111324775851438,479,216,0.8347441755038025
I,sptbn1,0.961055374630311,0.8510273962591487,1.0853086953085012,0.5219587128624783,479,216,0.8347441755038025
I,asxl1,1.0481827700952442,0.9072685160797448,1.2109834079461983,0.5229291305997117,479,216,0.8347441755038025
I,nek1,0.9541814469108508,0.8287266641978844,1.098627898633033,0.5143236825168865,479,216,0.8347441755038025
I,palld,1.0446361854552477,0.9125588582786346,1.195829452602049,0.5266101836527463,479,216,0.8347441755038025
I,ptpn22,1.0406951919068756,0.9205977974073518,1.1764599975236045,0.5237460243114558,479,216,0.8347441755038025
I,prkd1,1.0443618535940584,0.9135749427848819,1.19387215012446,0.5248735249336841,479,216,0.8347441755038025
I,fbxw7,0.9591138198290652,0.8379309229334435,1.0978223791606838,0.5446876731316954,479,216,0.8479685591840004
I,map2k4,0.9584284879402591,0.835154761428366,1.099898137351686,0.545538198195844,479,216,0.8479685591840004
I,smad3,0.9597345041548405,0.8412905734909379,1.0948539630525878,0.540842310645933,479,216,0.8479685591840004
I,clk3,0.9584652917512494,0.8370513851733608,1.0974902279165883,0.5393107256449585,479,216,0.8479685591840004
I,akr1c1,1.0417477152606078,0.9126940156340159,1.189049433502443,0.5444345799933163,479,216,0.8479685591840004
I,akr1c2,1.0495217971405892,0.8970318730374817,1.227934074341623,0.5462374154252763,479,216,0.8479685591840004
I,cdkn2a,0.9543119753575736,0.8096023554533682,1.1248872241742505,0.5772790091410749,479,216,0.8550363838538302
I,e2f2,1.0426951533367843,0.9056711694485727,1.2004502511148512,0.5608194970928191,479,216,0.8550363838538302
I,e2f8,1.0393732404448448,0.907402268390318,1.1905378359580303,0.577245036326932,479,216,0.8550363838538302
I,tp53bp1,0.9622457200211921,0.8376757957641764,1.1053403123035535,0.5863887872150585,479,216,0.8550363838538302
I,rfng,0.9632839771936883,0.8440076336100928,1.0994166210903733,0.5791389763729966,479,216,0.8550363838538302
I,bcl2l1,1.0421589077368156,0.9019590470840491,1.2041513331302998,0.5753544797704685,479,216,0.8550363838538302
I,foxo3,0.9638587160578138,0.8429942344456025,1.1020521689944798,0.5902491485406015,479,216,0.8550363838538302
I,map2k2,0.9640497622149754,0.8455493950319349,1.099157482090859,0.5842927942219336,479,216,0.8550363838538302
I,mmp12,1.0365726642310438,0.9155218273423087,1.1736289142883547,0.5707639822378745,479,216,0.8550363838538302
I,pdgfa,1.041098643577884,0.9076163978149703,1.1942119911772182,0.5650703825760997,479,216,0.8550363838538302
I,pdgfb,1.0406023953528334,0.9035196761760366,1.1984834129977238,0.5807923540954604,479,216,0.8550363838538302
I,smad2,0.9592011839724975,0.8317110235450996,1.1062338784600112,0.5670133610810852,479,216,0.8550363838538302
