gene,HR_os,ic_inf,ic_sup,fdr_os,HR_dss,fdr_dss,direcao,significativo_os,forca
chek1,1.08833819034241,1.02732779904567,1.15297183397365,0.0205198079890586,1.27040858313916,2.0436434e-09,menor sobrevida (risco),True,0.08465193684580279
prkd1,0.919531368595495,0.865841878164309,0.976550059721931,0.0289508539478276,0.985939430466663,0.840285597176463,maior sobrevida (protetor),True,0.08389112067953412
dtwd2,1.08642021618896,1.02502485432181,1.15149294299307,0.0248118318315726,1.06319665865783,0.248690119455462,menor sobrevida (risco),True,0.08288808607051505
sdc4,1.08629947060692,1.0234060590058,1.15305799634139,0.0293123694006329,1.00481454656322,0.958206069771617,menor sobrevida (risco),True,0.08277693912146487
runx1,0.920615389963304,0.869540635784552,0.974690154040462,0.0224923353216767,0.881316070219468,0.0059361209463779,maior sobrevida (protetor),True,0.08271293042034508
zfp36l1,0.920681912558335,0.868348848396829,0.976168950620524,0.026285674549612,0.931188580952818,0.175641854022263,maior sobrevida (protetor),True,0.08264067419646556
e2f8,1.08574974359495,1.02289550517769,1.15246620964643,0.0301831567144832,1.2531079651474,1.388751595e-07,menor sobrevida (risco),True,0.08227075627798844
arrdc1,1.08515405883293,1.02510204771541,1.14872400657666,0.0237262167178515,1.14346962852868,0.0023951531155288,menor sobrevida (risco),True,0.08172196662060806
src,1.08504398398678,1.02299562527926,1.15085579849329,0.0293123694006329,1.16793227258145,0.0006473663344262,menor sobrevida (risco),True,0.08162052440743439
dtx2,1.08466581141945,1.02232952779815,1.15080303412161,0.0310794914097868,1.14016000648636,0.0049255787411088,menor sobrevida (risco),True,0.08127193163990375
magea8,1.08329589301621,1.02920864835878,1.14022554483695,0.0122303710426506,1.07724076445471,0.083667388444656,menor sobrevida (risco),True,0.0800081467835865
ctnna3,1.08324324548446,1.02093188088398,1.14935771020461,0.0347049232921167,1.05337215813687,0.3617528543852,menor sobrevida (risco),True,0.07995954620137248
mmp17,1.08305073825214,1.02251616175737,1.14716905756532,0.0293123694006329,1.1033949333606,0.0429273520329375,menor sobrevida (risco),True,0.07978181664640709
tbx3,0.923820357579606,0.869750366486221,0.981251731489822,0.0411889686852515,0.802952236935295,3.2524347723e-06,maior sobrevida (protetor),True,0.07923764444601142
rptor,1.08221430844643,1.02252123888168,1.14539215898059,0.0290049142358453,1.09471260402461,0.0625516772534866,menor sobrevida (risco),True,0.07900922776765504
mapk9,1.08200989784332,1.02026922219308,1.14748675502959,0.0360617172380762,1.06070263982531,0.281962011131254,menor sobrevida (risco),True,0.0788203281119504
