gene,vezes_selecionado,freq_selecao_perc,HR,fdr
acvr2a,0,0,0.901722297440984,0.00618963418889861
acvr2b,0,0,1.02372791109423,0.574232089612184
acvrl1,0,0,0.931192668230537,0.0738658652368858
akt1,0,0,1.11659687966124,0.00190000646300885
akt1s1,0,0,1.02089158349541,0.630304983948245
akt2,0,0,1.04245619768702,0.321412114347721
apaf1,0,0,1.02406668622512,0.606626235870952
arl11,0,0,1.04373244450462,0.291705036833537
atr,0,0,1.05618993512844,0.186233301651608
bad,0,0,0.974341310973921,0.573400009118599
bcl2l1,0,0,1.10454215678156,0.00731791565049606
bmp10,0,0,1.02381741654173,0.606226424841446
bmp15,0,0,1.01170521131882,0.803435679122804
bmp2,0,0,1.03239799425537,0.507063739027739
bmp3,0,0,1.04327570297452,0.322810917083581
bmp4,0,0,0.992971067291484,0.891944256446014
bmp5,0,0,0.964632326842452,0.439192719080375
bmp6,0,0,0.968340799269834,0.497035705087534
bmp7,0,0,1.04487219553124,0.278756997772631
bmpr1a,0,0,0.997484244481235,0.955382263720655
bmpr1b,0,0,1.00526900564565,0.918449338354895
bmpr2,0,0,0.947855208427443,0.168698539155665
braf,0,0,1.0038345253116,0.935136541280041
casp3,0,0,1.0585033084254,0.160757642055807
casp6,0,0,0.953555624672785,0.240596501774191
casp7,0,0,0.948823912259949,0.199811863239931
casp8,0,0,0.935585757964442,0.103127652970982
casp9,0,0,0.975766241130944,0.594861707984495
chek1,0,0,1.08833819034241,0.0205198079890586
csf1,0,0,1.01659382174053,0.722341696130627
csf1r,0,0,0.94329318872469,0.143265081450257
cxcl8,0,0,1.05692929872794,0.170782524101736
cxcr1,0,0,1.0507279023719,0.255961399244613
cxcr2,0,0,0.948404562515074,0.201764788669588
dab2,0,0,0.986498122084276,0.767031942223508
diras3,0,0,0.861929299350424,0.000500263547621384
dlec1,0,0,0.925063868877929,0.0458600152590257
dph1,0,0,0.986529672826122,0.773391466365864
egfr,0,0,1.02252950318097,0.647320296173733
eif4e,0,0,0.960351497875661,0.334200673886534
eif4ebp1,0,0,1.12624152349503,0.000683518383483835
eif5a2,0,0,0.968417416821395,0.460252701949221
erbb2,0,0,1.11842660368969,0.00296606996389174
erbb3,0,0,1.03310499651534,0.493726874524168
erbb4,0,0,1.06631044035775,0.0739503128815366
fas,0,0,0.874553610020008,0.000719015371730211
fgf1,0,0,0.923742756369395,0.0529388289492867
fgfr1,0,0,1.02148264416794,0.645243935175619
folr1,0,0,0.978604828826201,0.64593530788255
folr2,0,0,0.951890606102084,0.255986895479079
folr3,0,0,1.02960144794075,0.519769063721246
foxo1,0,0,0.943397996114392,0.15384938274953
foxo3,0,0,1.02811998796631,0.530702366763503
gdf11,0,0,1.09514801404129,0.00799393234064846
gdf2,0,0,1.01145526621817,0.804287174031401
hif1a,0,0,1.00288571180375,0.950804543101875
hla-g,0,0,0.931801974766719,0.0808070348967847
hras,0,0,1.05698771122451,0.15384938274953
igf1r,0,0,0.90644320129137,0.00877536387584546
inha,0,0,1.05808377959421,0.143265081450257
inhba,0,0,0.918619264168685,0.0240748533860537
inhbc,0,0,1.00143179226005,0.971934350756058
itgav,0,0,0.982018350287792,0.669100459917182
itgb3,0,0,0.958491021493045,0.339974311746555
izumo1r,0,0,1.00138772589495,0.971934350756058
kdr,0,0,0.960300325586669,0.339134774946773
kit,0,0,0.846375388812785,0.0000109645940866009
map2k1,0,0,1.05633189589876,0.159096531954198
map2k2,0,0,1.05894864736989,0.150089606307411
map2k3,0,0,1.05704264403766,0.15384938274953
map2k4,0,0,0.939154804664633,0.112442708356605
map2k5,0,0,0.995465250302302,0.926820566211586
map3k1,0,0,0.908248574484604,0.0103132105481514
map3k3,0,0,0.951643342232233,0.240596501774191
map3k4,0,0,1.01939945366355,0.6725820085262
map3k5,0,0,1.01565296767752,0.72501932135825
mapk1,0,0,0.983495538415864,0.712184862264833
mapk12,0,0,1.03553066164619,0.409316353833425
