desfecho,gene,HR,IC95_inf,IC95_sup,z,valor_p,concordancia,fdr
Sobrevida global (OS),rpgr,0.935114177276251,0.880779959360999,0.992800205374156,-2.19655256496053,0.028052417137127,0.543312224835655,0.091450879867034
Sobrevida global (OS),arid5b,0.938881805905746,0.887431896793913,0.993314584077367,-2.19324432631636,0.0282897804635115,0.526483324286834,0.0916139248122987
Sobrevida global (OS),snw1,0.937071061942694,0.883531924360892,0.993854495711163,-2.16533169976738,0.0303622924298654,0.515681402408379,0.0976786907776592
Sobrevida global (OS),mapk8,0.93668732404693,0.882293966967098,0.994434027522845,-2.14282598531074,0.0321270739326592,0.516407534728505,0.10244211176491
Sobrevida global (OS),dll4,1.06620827965362,1.0054396796523,1.13064972330819,2.14115013282634,0.0322619329484585,0.525938926080051,0.10244211176491
Sobrevida global (OS),casp8,0.935585757964442,0.880134200977027,0.994530958499528,-2.1358857871017,0.0326887243568553,0.517947449892447,0.103127652970982
Sobrevida global (OS),zfyve9,1.06635134609961,1.00512765966368,1.13130425015756,2.12949952605579,0.0332129540551685,0.52380917918099,0.103717003855735
Sobrevida global (OS),dll3,1.06642464775916,1.00510384336106,1.13148659898191,2.1284507000843,0.0332997333442747,0.533578593973021,0.103717003855735
Sobrevida global (OS),mmp28,0.934862524992564,0.878564310923248,0.994768316638147,-2.12548910526427,0.0335458221930402,0.527338922059385,0.103822196534156
Sobrevida global (OS),stab2,0.930317331847984,0.869898851095367,0.994932154292349,-2.10826222496353,0.0350083135245383,0.515992199907525,0.106819331188066
Sobrevida global (OS),ppp2r2a,0.937466603780399,0.882806442096222,0.995511123725766,-2.10674414037992,0.0351397638230614,0.53577387773154,0.106819331188066
Sobrevida global (OS),hsd17b13,0.936100862992945,0.880290964122487,0.995449074692769,-2.10539916784091,0.0352565761816831,0.522771445228474,0.106819331188066
Sobrevida global (OS),ush2a,1.06885718675194,1.00456579557724,1.13726317449899,2.10389050663115,0.035387999289298,0.518737912872163,0.106819331188066
Sobrevida global (OS),map2k4,0.939154804664633,0.88522507512585,0.996370044080905,-2.08048682553589,0.0374809027855349,0.552498240958527,0.112442708356605
Sobrevida global (OS),utrn,0.941241901905143,0.888740567537383,0.996844692660825,-2.06788430412219,0.0386509036967464,0.524899985927668,0.114972980663737
Sobrevida global (OS),sik2,0.939089512415547,0.88474736541522,0.996769413283295,-2.06635932037898,0.0387945640276412,0.514960496954345,0.114972980663737
Sobrevida global (OS),prps2,0.940937338335763,0.887262633766939,0.997859079126904,-2.03148163326641,0.0422061608352066,0.508883662022797,0.124330196677205
Sobrevida global (OS),palld,0.943643824039082,0.891956325325239,0.998326533894366,-2.0182381957709,0.0435664599480471,0.526671089399514,0.127568855776018
Sobrevida global (OS),stmn2,0.935860950859979,0.877160176063812,0.998490062869462,-2.00568461938303,0.0448899072233563,0.522832559355085,0.130661694239412
Sobrevida global (OS),e2f4,1.06075109228045,1.00004216395414,1.12514543919346,1.96136617320192,0.0498363230399701,0.548364594013228,0.143265081450257
Sobrevida global (OS),inha,1.05808377959421,0.999926786034463,1.11962325669889,1.95742559696453,0.0502974514781031,0.511375268882054,0.143265081450257
Sobrevida global (OS),cyp2c8,0.940594056068524,0.884599981036129,1.00013248618338,-1.95573349544145,0.0504965567649883,0.522448585730656,0.143265081450257
Sobrevida global (OS),csf1r,0.94329318872469,0.889677566606791,1.00013990831316,-1.95527831651264,0.0505502290944872,0.516102366162073,0.143265081450257
Sobrevida global (OS),ctbp1,0.942113585263821,0.887420257489971,1.00017776250581,-1.95413897910499,0.0506847834169622,0.516631485837203,0.143265081450257
Sobrevida global (OS),npnt,1.06015532112843,0.999479394029766,1.12451473400106,1.94264635635458,0.0520589018303116,0.491529260398448,0.145561925936522
Sobrevida global (OS),tnk2,1.06014823871538,0.999411700387674,1.12457587560297,1.94041415872184,0.0523293772479307,0.503870695374224,0.145561925936522
Sobrevida global (OS),smad7,1.06188841356288,0.999379494849471,1.12830712324043,1.93991199203985,0.0523903864311409,0.510448505317331,0.145561925936522
Sobrevida global (OS),prkacg,1.0564565646311,0.999275990829418,1.11690912540165,1.93445310152679,0.0530574429650229,0.515701907806124,0.146582427174555
Sobrevida global (OS),map2k2,1.05894864736989,0.998862518851465,1.12264923010219,1.92177683442069,0.0546338444227385,0.519188629555917,0.150089606307411
